Player,Nation,Squad,Position,Age,Minutes,Matches played,Starts,Goals,Assists,Yellow cards,Red cards,Expected: xG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90: Gls,Per 90: Ast,Per 90: xG,Per 90: xGA,Performance: GA90,Performance: Save%,Performance: CS%,Penalty Kicks: Save%,Standard: SoT%,Standard: SoT/90,Standard: G/Sh,Standard: Dist,Total: Cmp,Total: Cmp%,Total: TotDist,Short: Cmp%,Medium: Cmp%,Long: Cmp%,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,SCA,SCA90,GCA,GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches Att 3rd,Touches Att Pen,TakeOns: Att,TakeOns: Succ%,TakeOns: Tkld%,Carries: Carries,Carries: PrgDist,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerials: Won,Aerials: Lost,Aerials: Won%
Kevin Danso,AUT,Tottenham,DF,26,572,7,6,0,0,0,0,0.4,0.1,11,17,1,0.00,0.00,0.06,N/a,N/a,N/a,N/a,N/a,33.3,0.31,0.00,17.5,373,86.7,2194,89.4,92.2,55.6,2,22,2,1,7,1.10,2,0.31,6,5,N/a,3,7,7,0,3,508,62,276,210,25,7,N/a,N/a,33.3,341,1015,5,0,N/a,N/a,363,7,9,0,1,22,18,9,66.7
Kevin De Bruyne,BEL,Manchester City,"MF,FW",33,"1,538",25,17,4,7,2,0,3.8,7.6,47,135,137,0.23,0.41,0.22,N/a,N/a,N/a,N/a,N/a,28.6,0.82,0.08,21.7,799,76.0,3840,85.5,76.8,57.8,51,80,51,11,104,6.08,11,0.64,17,9,N/a,18,8,0,8,7,1210,10,73,408,739,71,N/a,N/a,50.0,711,1860,45,18,N/a,N/a,907,16,16,5,122,56,4,15,21.1
Kevin Schade,GER,Brentford,FW,23,"2,069",35,23,10,2,3,0,7.7,3.4,56,32,146,0.43,0.09,0.33,N/a,N/a,N/a,N/a,N/a,46.0,1.00,0.20,11.6,290,58.2,1252,68.4,60.1,42.9,20,29,9,3,50,2.18,9,0.39,35,23,N/a,8,17,2,15,5,804,37,135,221,463,129,N/a,N/a,56.8,399,1275,26,35,N/a,N/a,497,20,33,13,36,78,81,65,55.5
Kieran Tierney,SCO,Arsenal,"DF,FW",27,181,10,1,0,0,0,0,0.2,0.9,5,12,22,0.00,0.00,0.10,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,2.6,96,82.1,461,94.5,78.3,54.5,7,7,5,2,8,3.98,0,0.00,5,4,N/a,2,0,0,0,2,133,4,20,46,67,4,N/a,N/a,33.3,58,125,3,1,N/a,N/a,90,0,2,2,10,3,3,5,37.5
Kieran Trippier,ENG,Newcastle Utd,DF,34,"1,281",24,14,0,3,1,0,0.1,1.3,25,111,53,0.00,0.21,0.01,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.2,1000,82.1,5904,94.3,85.3,47.6,19,67,20,2,50,3.51,6,0.42,37,20,N/a,14,11,3,8,12,1347,50,373,594,389,12,N/a,N/a,50.0,587,1158,14,4,N/a,N/a,818,16,11,2,79,65,21,15,58.3
Kiernan Dewsbury-Hall,ENG,Chelsea,"MF,FW",26,259,12,2,0,1,0,0,0.2,1.1,5,14,11,0.00,0.35,0.08,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,7.8,127,83.6,319,91.5,83.9,50.0,3,12,3,0,5,1.73,1,0.35,8,5,N/a,2,2,0,2,1,181,4,28,95,58,6,N/a,N/a,50.0,93,221,1,0,N/a,N/a,137,4,6,0,2,9,0,1,0.0
Kobbie Mainoo,ENG,Manchester Utd,MF,20,"1,506",22,18,0,0,5,0,0.6,1.6,21,59,42,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,15.4,0.12,0.00,20.8,663,86.3,2160,92.1,87.6,70.7,14,46,9,0,30,1.79,2,0.12,42,25,N/a,14,16,2,14,19,980,24,183,555,251,33,N/a,N/a,49.0,602,1131,14,10,N/a,N/a,696,27,19,2,5,79,19,27,41.3
Konstantinos Mavropanos,GRE,West Ham,DF,27,"1,947",31,20,0,0,6,1,1.5,0.5,16,60,2,0.00,0.00,0.07,N/a,N/a,N/a,N/a,N/a,27.8,0.23,0.00,14.8,1013,85.8,6831,91.0,92.3,58.4,5,60,4,1,16,0.74,0,0.00,32,22,N/a,11,23,17,6,38,1432,221,746,632,62,24,N/a,N/a,29.4,794,2124,10,1,N/a,N/a,936,17,14,3,2,68,56,24,70.0
Kosta Nedeljković,SRB,Aston Villa,DF,19,126,5,0,0,0,0,0,0.0,0.0,1,6,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,47,88.7,185,95.7,84.0,80.0,0,5,0,0,0,0.00,0,0.00,7,5,N/a,1,1,0,1,0,66,4,15,32,19,0,N/a,N/a,50.0,27,33,0,0,N/a,N/a,32,0,1,0,1,4,0,1,0.0
Kostas Tsimikas,GRE,Liverpool,DF,28,747,17,8,0,1,2,0,0.4,2.1,16,71,42,0.00,0.12,0.05,N/a,N/a,N/a,N/a,N/a,50.0,0.24,0.00,16.1,507,83.8,2827,94.6,88.1,50.0,16,41,11,4,28,3.37,2,0.24,29,18,N/a,7,5,2,3,10,689,29,169,307,218,12,N/a,N/a,45.5,342,746,6,2,N/a,N/a,438,9,6,1,61,27,5,6,45.5
