Player,Nation,Squad,Position,Age,Minutes,Matches played,Starts,Goals,Assists,Yellow cards,Red cards,Expected: xG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90: Gls,Per 90: Ast,Per 90: xG,Per 90: xGA,Performance: GA90,Performance: Save%,Performance: CS%,Penalty Kicks: Save%,Standard: SoT%,Standard: SoT/90,Standard: G/Sh,Standard: Dist,Total: Cmp,Total: Cmp%,Total: TotDist,Short: Cmp%,Medium: Cmp%,Long: Cmp%,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,SCA,SCA90,GCA,GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches Att 3rd,Touches Att Pen,TakeOns: Att,TakeOns: Succ%,TakeOns: Tkld%,Carries: Carries,Carries: PrgDist,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerials: Won,Aerials: Lost,Aerials: Won%
Mohammed Kudus,GHA,West Ham,"FW,MF",24,"2,421",29,29,4,2,2,1,6.6,2.5,93,76,201,0.15,0.07,0.24,N/a,N/a,N/a,N/a,N/a,29.4,0.74,0.06,15.7,659,83.5,1719,90.2,89.1,67.9,29,44,27,13,101,3.76,7,0.26,35,21,N/a,17,24,1,23,4,1176,12,159,486,572,117,N/a,N/a,45.9,770,2401,56,39,N/a,N/a,916,36,60,18,74,128,10,38,20.8
Moisés Caicedo,ECU,Chelsea,"MF,DF",23,"3,081",35,35,1,2,10,0,0.8,3.0,38,197,33,0.03,0.06,0.02,N/a,N/a,N/a,N/a,N/a,16.7,0.09,0.06,25.1,1827,89.7,8351,92.2,92.4,78.1,29,219,31,2,94,2.75,9,0.26,103,64,N/a,30,45,10,35,49,2394,89,521,1469,430,15,N/a,N/a,35.1,1323,3008,29,2,N/a,N/a,1666,62,55,0,9,203,33,15,68.8
Morato,BRA,Nott'ham Forest,DF,23,809,24,5,0,0,3,0,0.2,0.0,0,14,1,0.00,0.00,0.02,N/a,N/a,N/a,N/a,N/a,50.0,0.11,0.00,8.6,184,74.2,1525,83.9,82.9,37.9,0,11,0,0,3,0.33,0,0.00,21,13,N/a,7,12,4,8,10,387,83,239,131,19,2,N/a,N/a,0.0,125,274,2,0,N/a,N/a,161,10,2,0,0,31,5,13,27.8
Morgan Gibbs-White,ENG,Nott'ham Forest,MF,25,"2,541",31,31,5,7,11,1,4.7,4.5,64,153,118,0.18,0.25,0.17,N/a,N/a,N/a,N/a,N/a,34.0,0.64,0.09,17.0,897,78.0,4266,85.0,81.5,57.3,48,117,37,8,104,3.68,17,0.60,40,19,N/a,15,16,4,12,20,1484,34,175,752,581,86,N/a,N/a,45.3,829,2410,47,12,N/a,N/a,1109,34,37,7,39,118,39,48,44.8
Morgan Rogers,ENG,Aston Villa,"FW,MF",22,"2,853",34,34,8,8,9,0,6.2,7.4,108,117,177,0.25,0.25,0.20,N/a,N/a,N/a,N/a,N/a,35.8,0.60,0.15,15.9,628,73.9,3175,81.4,76.2,79.7,48,71,52,2,101,3.19,14,0.44,36,18,N/a,20,25,7,18,5,1269,36,185,557,553,135,N/a,N/a,44.4,744,3036,64,33,N/a,N/a,897,46,48,2,22,108,11,43,20.4
Murillo,BRA,Nott'ham Forest,DF,22,"3,008",34,34,2,0,5,0,1.4,1.1,20,103,5,0.06,0.00,0.04,N/a,N/a,N/a,N/a,N/a,25.0,0.18,0.08,22.2,1056,78.2,9838,90.0,87.8,48.9,12,124,13,1,40,1.20,2,0.06,53,36,N/a,19,67,44,23,32,1792,400,921,789,96,21,N/a,N/a,21.2,760,2286,24,1,N/a,N/a,912,25,4,0,12,134,43,21,67.2
Mykhailo Mudryk,UKR,Chelsea,FW,24,151,7,1,0,0,0,0,0.3,1.0,7,5,12,0.00,0.00,0.15,N/a,N/a,N/a,N/a,N/a,100.0,0.60,0.00,11.6,28,66.7,165,70.8,66.7,50.0,2,2,2,1,6,3.60,0,0.00,2,2,N/a,0,3,1,2,0,62,3,12,15,38,6,N/a,N/a,62.5,39,227,8,0,N/a,N/a,42,2,2,1,7,9,2,4,33.3
Myles Lewis-Skelly,ENG,Arsenal,DF,18,"1,168",20,13,1,0,2,2,0.1,0.4,32,62,33,0.08,0.00,0.01,N/a,N/a,N/a,N/a,N/a,50.0,0.08,0.50,14.3,604,90.7,1983,95.8,90.3,65.0,7,55,8,1,24,1.85,0,0.00,22,14,N/a,0,2,1,1,6,775,20,138,426,225,14,N/a,N/a,34.6,443,1473,23,5,N/a,N/a,529,10,38,0,8,45,8,10,44.4
Nathan Aké,NED,Manchester City,DF,30,678,10,8,0,0,0,0,0.2,0.0,12,50,2,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,10.0,509,93.9,2950,98.0,97.1,58.8,1,42,1,0,8,1.06,0,0.00,9,7,N/a,2,7,2,5,3,596,51,205,331,61,5,N/a,N/a,0.0,403,1501,12,1,N/a,N/a,449,2,0,0,1,24,13,10,56.5
Nathan Broadhead,WAL,Ipswich Town,"MF,FW",27,605,16,6,1,0,1,0,1.5,0.6,17,12,27,0.15,0.00,0.22,N/a,N/a,N/a,N/a,N/a,60.0,0.89,0.10,15.4,149,76.0,415,87.5,79.7,25.0,6,10,4,0,19,2.83,2,0.30,7,3,N/a,6,6,1,5,4,276,7,38,139,109,19,N/a,N/a,43.8,152,502,14,4,N/a,N/a,191,4,13,2,9,30,1,9,10.0
Nathan Collins,IRL,Brentford,DF,24,"3,150",35,35,2,3,5,0,2.5,1.8,28,117,18,0.06,0.09,0.07,N/a,N/a,N/a,N/a,N/a,35.3,0.17,0.12,10.7,1572,85.7,9975,87.8,92.5,59.3,10,102,7,2,30,0.86,8,0.23,37,22,N/a,12,71,51,20,32,2257,360,1179,924,164,66,N/a,N/a,41.7,1176,3769,12,0,N/a,N/a,1365,24,28,6,7,149,112,60,65.1
Nathan Patterson,SCO,Everton,DF,23,347,10,3,0,1,1,0,0.1,0.4,6,13,18,0.00,0.26,0.02,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.8,130,73.9,806,90.3,69.3,50.0,4,9,5,3,11,2.85,1,0.26,11,6,N/a,7,2,0,2,2,215,11,52,90,75,5,N/a,N/a,16.7,95,216,5,2,N/a,N/a,117,6,1,0,14,12,1,7,12.5
Nathan Wood-Gordon,ENG,Southampton,DF,22,624,9,7,0,0,2,0,0.2,0.0,2,17,0,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,5.9,363,92.8,1494,94.4,96.4,69.6,1,11,0,0,3,0.43,0,0.00,10,7,N/a,3,8,5,3,4,457,54,219,212,27,2,N/a,N/a,20.0,253,454,6,0,N/a,N/a,339,8,4,0,3,20,11,7,61.1
Nathaniel Clyne,ENG,Crystal Palace,"DF,MF",34,483,13,5,0,0,1,0,0.0,0.3,6,7,8,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,31.4,171,76.0,1102,80.9,88.4,46.7,3,16,2,1,3,0.56,0,0.00,12,8,N/a,5,4,2,2,3,273,18,111,125,37,3,N/a,N/a,100.0,158,314,2,3,N/a,N/a,178,2,2,0,7,10,1,7,12.5
Neco Williams,WAL,Nott'ham Forest,DF,24,"2,324",32,25,1,3,7,0,2.3,1.5,60,82,86,0.04,0.12,0.09,N/a,N/a,N/a,N/a,N/a,18.9,0.27,0.03,20.2,751,76.1,4558,90.6,72.3,38.9,16,64,19,8,46,1.78,6,0.23,75,45,N/a,28,40,9,31,25,1393,143,504,506,401,38,N/a,N/a,40.9,569,1970,28,15,N/a,N/a,654,23,39,1,46,96,36,29,55.4
Neto,BRA,Bournemouth,GK,35,180,2,2,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,40,64.5,896,100.0,100.0,36.4,0,2,0,0,0,0.00,0,0.00,0,0,N/a,0,0,0,0,0,70,60,70,0,0,0,N/a,N/a,N/a,35,99,0,0,N/a,N/a,28,0,2,0,0,3,0,0,N/a
Nick Pope,ENG,Newcastle Utd,GK,33,"2,250",25,25,0,0,2,0,0.0,0.0,0,1,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,504,72.8,7881,99.0,98.5,42.8,1,2,0,0,6,0.24,0,0.00,0,0,N/a,0,1,0,1,1,773,612,762,11,0,0,N/a,N/a,N/a,397,1519,0,0,N/a,N/a,273,2,5,0,0,21,11,1,91.7
Niclas Füllkrug,GER,West Ham,FW,32,668,15,5,3,2,2,0,2.0,1.9,6,11,25,0.40,0.27,0.27,N/a,N/a,N/a,N/a,N/a,35.7,0.67,0.21,10.2,102,65.4,252,75.9,58.7,44.4,13,10,4,0,19,2.56,2,0.27,2,2,N/a,1,1,0,1,0,217,14,19,111,88,35,N/a,N/a,60.0,87,172,3,2,N/a,N/a,159,17,5,9,1,12,31,45,40.8
Nico O’Reilly,ENG,Manchester City,DF,20,513,8,6,2,0,0,0,1.3,0.4,16,17,25,0.35,0.00,0.23,N/a,N/a,N/a,N/a,N/a,37.5,0.53,0.25,15.4,304,86.9,780,92.5,81.3,50.0,4,28,1,1,12,2.11,2,0.35,9,4,N/a,4,5,1,4,4,416,14,70,221,130,18,N/a,N/a,40.0,246,574,14,0,N/a,N/a,296,6,4,1,8,29,5,7,41.7
Nicolas Jackson,SEN,Chelsea,FW,23,"2,185",29,27,10,5,7,0,12.3,4.3,46,37,127,0.41,0.21,0.51,N/a,N/a,N/a,N/a,N/a,44.7,1.40,0.13,12.9,300,75.9,876,81.6,77.4,64.3,28,22,10,1,68,2.80,10,0.41,22,13,N/a,5,14,2,12,3,679,19,50,281,357,139,N/a,N/a,51.7,413,1304,25,30,N/a,N/a,507,33,29,23,3,48,19,36,34.5
Nicolás Domínguez,ARG,Nott'ham Forest,"MF,FW",26,"1,734",31,20,0,1,9,0,1.4,1.3,13,68,27,0.00,0.05,0.07,N/a,N/a,N/a,N/a,N/a,38.9,0.36,0.00,19.0,725,87.0,3013,91.5,90.1,58.3,13,73,9,1,32,1.66,0,0.00,76,40,N/a,36,34,11,23,27,1071,72,274,555,252,26,N/a,N/a,37.5,400,805,11,2,N/a,N/a,585,31,16,1,5,102,21,20,51.2
Nicolás González,ESP,Manchester City,MF,23,648,9,8,0,0,3,0,0.3,0.1,5,46,10,0.00,0.00,0.04,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,19.3,520,92.9,1760,95.9,92.7,71.4,1,48,4,0,15,2.08,3,0.42,15,6,N/a,5,9,0,9,5,637,14,99,398,143,7,N/a,N/a,50.0,386,615,9,1,N/a,N/a,484,11,4,0,0,31,16,11,59.3
Nikola Milenković,SRB,Nott'ham Forest,DF,27,"3,060",34,34,4,2,4,0,3.6,1.0,3,49,6,0.12,0.06,0.10,N/a,N/a,N/a,N/a,N/a,26.9,0.21,0.15,12.1,748,81.2,5564,86.8,87.6,60.8,8,48,2,0,18,0.53,3,0.09,43,26,N/a,6,40,24,16,25,1268,242,700,490,82,59,N/a,N/a,0.0,486,963,3,2,N/a,N/a,638,18,4,1,0,75,96,37,72.2
Noni Madueke,ENG,Chelsea,FW,23,"1,813",29,24,7,3,3,0,9.1,4.0,142,66,212,0.35,0.15,0.45,N/a,N/a,N/a,N/a,N/a,39.0,1.49,0.09,14.4,474,77.6,1726,86.0,76.6,56.4,30,13,34,8,76,3.77,8,0.40,22,15,N/a,21,17,0,17,8,878,20,90,255,548,172,N/a,N/a,44.4,587,3159,46,87,N/a,N/a,676,20,24,5,58,72,10,16,38.5
Noussair Mazraoui,MAR,Manchester Utd,DF,27,"2,639",34,31,0,1,2,0,0.7,1.3,37,102,51,0.00,0.03,0.02,N/a,N/a,N/a,N/a,N/a,23.1,0.10,0.00,20.6,1409,85.5,7518,91.3,89.1,54.3,18,118,18,5,50,1.71,1,0.03,102,60,N/a,34,33,8,25,34,1976,158,779,903,318,27,N/a,N/a,36.2,1086,2680,29,3,N/a,N/a,1190,37,22,3,20,141,47,28,62.7
Nélson Semedo,POR,Wolves,DF,31,"2,661",31,30,0,4,7,0,0.8,2.7,61,70,109,0.00,0.14,0.03,N/a,N/a,N/a,N/a,N/a,37.5,0.20,0.00,23.4,973,80.1,4410,91.1,82.8,46.6,21,63,25,11,52,1.76,6,0.20,58,34,N/a,23,28,10,18,23,1551,116,446,707,416,24,N/a,N/a,42.2,790,2320,36,9,N/a,N/a,882,44,28,4,58,121,27,41,39.7
Odsonne Édouard,FRA,Crystal Palace,"MF,FW",27,115,2,1,0,0,0,0,0.4,0.0,2,4,7,0.00,0.00,0.31,N/a,N/a,N/a,N/a,N/a,20.0,0.78,0.00,20.9,17,60.7,46,68.8,57.1,100.0,1,2,0,0,1,0.78,0,0.00,1,0,N/a,2,1,0,1,0,45,1,4,23,18,8,N/a,N/a,100.0,23,50,1,2,N/a,N/a,26,4,0,2,1,5,1,4,20.0
Ola Aina,NGA,Nott'ham Forest,DF,28,"2,733",32,32,2,1,3,0,0.6,1.1,59,97,56,0.07,0.03,0.02,N/a,N/a,N/a,N/a,N/a,20.0,0.07,0.20,25.9,893,73.3,5721,88.4,73.7,36.4,15,78,20,9,58,1.91,3,0.10,54,41,N/a,28,32,12,20,31,1550,148,568,647,364,21,N/a,N/a,36.8,675,2524,40,10,N/a,N/a,737,21,34,2,47,173,13,18,41.9
Oleksandr Zinchenko,UKR,Arsenal,"DF,MF",28,455,13,4,0,1,1,0,0.3,0.1,10,37,12,0.00,0.20,0.05,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.0,313,83.0,1092,92.1,86.6,43.8,2,26,7,1,16,3.16,2,0.40,4,1,N/a,5,5,0,5,4,409,13,75,205,130,18,N/a,N/a,0.0,233,509,5,3,N/a,N/a,285,8,3,1,10,16,11,11,50.0
Oliver Scarles,ENG,West Ham,DF,19,594,14,6,0,0,1,0,0.1,0.0,11,21,39,0.00,0.00,0.02,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,20.2,260,78.1,1062,88.7,83.5,29.4,1,9,5,1,5,0.76,0,0.00,17,11,N/a,8,14,2,12,10,420,27,140,166,118,7,N/a,N/a,83.3,190,445,9,1,N/a,N/a,243,4,3,1,13,33,5,5,50.0
Oliver Skipp,ENG,Leicester City,MF,24,996,21,8,0,0,8,0,0.2,0.3,16,31,19,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,25.0,0.09,0.00,21.0,392,85.0,1459,88.5,93.3,59.4,9,30,4,0,14,1.27,0,0.00,20,4,N/a,6,17,4,13,10,557,24,121,350,90,7,N/a,N/a,45.5,321,629,7,3,N/a,N/a,390,19,13,0,5,40,10,6,62.5
Ollie Watkins,ENG,Aston Villa,FW,29,"2,333",35,28,15,7,2,0,14.7,3.0,52,29,148,0.58,0.27,0.57,N/a,N/a,N/a,N/a,N/a,42.3,1.27,0.17,12.2,284,74.2,594,79.3,81.5,75.0,23,12,12,0,51,1.97,11,0.42,9,6,N/a,8,11,3,8,8,636,18,48,229,368,155,N/a,N/a,65.8,375,1052,21,36,N/a,N/a,502,27,30,13,7,39,47,62,43.1
Omar Marmoush,EGY,Manchester City,"FW,MF",26,998,13,12,6,0,0,0,4.8,1.7,21,29,68,0.54,0.00,0.43,N/a,N/a,N/a,N/a,N/a,42.1,1.44,0.16,18.0,203,78.1,722,83.6,79.7,50.0,13,8,24,4,33,2.98,1,0.09,11,6,N/a,8,15,1,14,5,416,3,29,121,271,56,N/a,N/a,46.2,262,760,15,11,N/a,N/a,295,13,17,9,25,32,5,8,38.5
Omari Hutchinson,ENG,Ipswich Town,"MF,FW",21,"2,313",28,27,3,2,5,0,2.4,2.7,74,71,135,0.12,0.08,0.09,N/a,N/a,N/a,N/a,N/a,43.2,0.62,0.08,21.0,604,78.4,1718,88.4,84.4,53.4,25,44,21,10,68,2.65,6,0.23,31,12,N/a,32,25,1,24,10,1100,14,178,464,480,76,N/a,N/a,47.9,671,2433,35,31,N/a,N/a,772,29,36,4,60,96,6,24,20.0
Orel Mangala,BEL,Everton,MF,27,"1,261",19,14,1,0,2,0,1.1,0.6,6,34,19,0.07,0.00,0.08,N/a,N/a,N/a,N/a,N/a,37.5,0.43,0.06,22.1,437,89.2,1567,90.5,94.9,76.7,8,50,8,1,24,1.72,1,0.07,16,8,N/a,3,8,3,5,21,621,22,133,335,157,13,N/a,N/a,37.5,298,576,6,3,N/a,N/a,406,24,17,2,6,49,6,8,42.9
Pablo Sarabia,ESP,Wolves,"MF,FW",32,716,21,6,3,2,3,0,2.9,1.6,12,51,52,0.38,0.25,0.36,N/a,N/a,N/a,N/a,N/a,47.1,1.01,0.18,18.9,260,70.1,1692,86.8,77.8,49.3,13,36,17,2,25,3.14,4,0.50,15,8,N/a,5,10,0,10,4,465,4,53,227,188,23,N/a,N/a,38.5,272,615,14,0,N/a,N/a,321,14,15,5,40,29,4,12,25.0
Pape Matar Sarr,SEN,Tottenham,MF,22,"1,726",33,19,3,2,6,0,3.3,1.6,32,85,50,0.16,0.10,0.17,N/a,N/a,N/a,N/a,N/a,40.6,0.68,0.09,21.8,856,86.8,3030,90.7,90.0,73.3,15,85,11,2,42,2.19,6,0.31,44,32,N/a,12,23,9,14,26,1189,38,249,669,291,26,N/a,N/a,50.0,745,1843,35,5,N/a,N/a,838,31,34,2,14,108,28,40,41.2
Patrick Dorgu,DEN,Manchester Utd,DF,20,630,9,8,0,0,3,1,0.4,0.4,27,23,54,0.00,0.00,0.05,N/a,N/a,N/a,N/a,N/a,22.2,0.29,0.00,16.2,280,79.8,916,88.5,73.8,35.3,7,15,7,2,13,1.86,1,0.14,23,17,N/a,5,9,0,9,4,436,15,125,149,164,23,N/a,N/a,33.3,243,838,14,4,N/a,N/a,277,14,20,3,28,26,12,7,63.2
Patson Daka,ZAM,Leicester City,"FW,MF",26,653,21,5,1,0,0,0,1.3,0.1,10,8,34,0.14,0.00,0.17,N/a,N/a,N/a,N/a,N/a,26.7,0.55,0.07,14.8,101,71.6,254,80.3,72.1,100.0,1,6,1,0,10,1.38,1,0.14,17,9,N/a,10,7,1,6,1,239,9,41,109,94,28,N/a,N/a,66.7,134,309,7,5,N/a,N/a,158,12,17,3,3,18,10,27,27.0
Pau Torres,ESP,Aston Villa,DF,28,"1,819",21,21,0,0,1,0,0.5,0.1,33,77,4,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,25.0,0.10,0.00,11.7,1079,88.7,7175,94.9,93.4,53.1,2,96,7,0,12,0.59,2,0.10,20,14,N/a,6,14,10,4,9,1349,218,654,622,79,16,N/a,N/a,11.8,839,3596,20,0,N/a,N/a,963,8,7,0,1,54,16,26,38.1
Paul Onuachu,NGA,Southampton,FW,30,"1,029",24,11,4,1,4,0,3.6,0.5,7,13,40,0.35,0.09,0.32,N/a,N/a,N/a,N/a,N/a,44.1,1.31,0.12,10.4,156,60.7,365,62.9,62.7,63.2,8,13,2,0,9,0.79,1,0.09,7,2,N/a,4,7,2,5,1,428,17,43,228,160,66,N/a,N/a,56.0,208,243,5,2,N/a,N/a,349,28,16,9,0,17,90,56,61.6
Pedro Neto,POR,Chelsea,FW,25,"2,013",32,21,4,5,8,0,2.9,6.1,118,57,229,0.18,0.22,0.13,N/a,N/a,N/a,N/a,N/a,29.6,0.72,0.07,18.8,632,78.6,2198,92.9,81.5,47.9,44,29,35,22,85,3.80,8,0.36,22,9,N/a,11,13,2,11,9,1034,12,92,302,657,108,N/a,N/a,43.5,672,3004,52,42,N/a,N/a,753,19,29,3,133,71,10,26,27.8
Pedro Porro,ESP,Tottenham,DF,25,"2,463",31,26,2,6,4,0,1.5,4.0,63,147,106,0.07,0.22,0.06,N/a,N/a,N/a,N/a,N/a,21.6,0.29,0.05,23.1,1324,73.5,9131,87.5,79.3,44.2,54,120,55,26,104,3.80,8,0.29,63,46,N/a,31,44,17,27,34,2131,124,623,772,749,30,N/a,N/a,61.5,1132,2677,40,5,N/a,N/a,1229,24,30,1,191,148,11,22,33.3
Pervis Estupiñán,ECU,Brighton,DF,27,"2,222",28,24,1,1,5,0,1.1,2.1,55,116,107,0.04,0.04,0.04,N/a,N/a,N/a,N/a,N/a,30.4,0.28,0.04,24.5,1245,83.3,5726,93.5,83.3,49.0,24,97,32,18,52,2.11,4,0.16,58,39,N/a,15,16,2,14,34,1766,72,439,878,467,31,N/a,N/a,43.3,944,2388,55,9,N/a,N/a,1070,33,17,3,114,136,43,26,62.3
Phil Foden,ENG,Manchester City,"MF,FW",24,"1,693",26,19,7,2,2,0,5.1,4.7,47,95,119,0.37,0.11,0.27,N/a,N/a,N/a,N/a,N/a,30.8,0.85,0.13,18.5,743,84.0,2445,90.6,89.2,59.6,42,40,35,5,84,4.47,9,0.48,12,5,N/a,10,12,1,11,9,1076,13,81,375,629,79,N/a,N/a,53.8,677,1676,30,15,N/a,N/a,842,5,32,3,73,59,3,8,27.3
Philip Billing,DEN,Bournemouth,MF,28,184,10,1,0,0,1,0,0.6,1.1,3,15,13,0.00,0.00,0.28,N/a,N/a,N/a,N/a,N/a,20.0,0.49,0.00,17.9,70,68.6,400,84.3,70.4,26.7,9,9,7,2,16,7.83,0,0.00,14,5,N/a,1,3,0,3,5,148,5,20,72,57,12,N/a,N/a,0.0,58,163,1,1,N/a,N/a,75,3,2,0,10,14,6,4,60.0
Radu Drăgușin,ROU,Tottenham,DF,23,"1,252",16,14,0,0,1,0,0.1,0.4,7,37,2,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,20.0,0.07,0.00,12.7,716,85.2,5250,91.0,93.0,43.9,4,52,2,1,8,0.58,1,0.07,10,6,N/a,6,22,16,6,15,961,148,510,430,30,12,N/a,N/a,0.0,623,1666,3,0,N/a,N/a,669,6,10,0,1,48,33,22,60.0
Raheem Sterling,ENG,Arsenal,"FW,MF",30,437,16,6,0,2,1,0,1.3,0.5,25,17,73,0.00,0.41,0.27,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.0,141,77.0,352,86.9,74.5,66.7,8,4,9,2,18,3.71,3,0.62,8,4,N/a,4,3,0,3,1,247,2,8,52,190,37,N/a,N/a,36.0,178,690,9,15,N/a,N/a,188,12,4,4,14,14,1,3,25.0
Ramón Sosa,PAR,Nott'ham Forest,"FW,MF",25,295,19,1,1,0,1,0,1.0,0.5,12,6,17,0.31,0.00,0.31,N/a,N/a,N/a,N/a,N/a,45.5,1.53,0.09,18.6,66,68.0,283,70.2,68.6,71.4,8,2,5,3,14,4.23,0,0.00,5,3,N/a,4,9,0,9,4,154,6,36,48,77,15,N/a,N/a,38.5,75,333,7,5,N/a,N/a,81,6,8,3,8,25,4,7,36.4
Rasmus Højlund,DEN,Manchester Utd,FW,22,"1,744",29,20,4,0,2,0,3.8,1.3,26,16,83,0.21,0.00,0.20,N/a,N/a,N/a,N/a,N/a,40.0,0.52,0.16,12.8,224,76.7,446,82.9,71.7,80.0,14,12,5,1,30,1.55,1,0.05,3,1,N/a,4,5,0,5,1,447,6,31,223,201,58,N/a,N/a,62.1,275,625,13,16,N/a,N/a,352,15,26,11,6,30,23,82,21.9
Rayan Aït-Nouri,ALG,Wolves,DF,23,"2,865",34,34,4,7,7,1,2.6,4.7,79,100,158,0.13,0.22,0.08,N/a,N/a,N/a,N/a,N/a,23.5,0.25,0.12,14.9,1309,83.9,5383,93.4,86.7,40.7,36,67,27,9,78,2.45,12,0.38,82,52,N/a,26,40,6,34,24,1944,86,535,827,605,84,N/a,N/a,39.7,1006,2850,54,24,N/a,N/a,1181,30,39,5,86,133,20,28,41.7
Raúl Jiménez,MEX,Fulham,FW,34,"2,224",35,27,10,3,4,0,11.2,3.2,32,56,119,0.40,0.12,0.45,N/a,N/a,N/a,N/a,N/a,32.1,1.09,0.08,14.4,423,71.0,1438,81.2,73.1,61.2,20,36,10,3,57,2.31,6,0.24,33,23,N/a,13,19,5,14,10,919,30,107,396,431,154,N/a,N/a,53.2,509,1000,21,17,N/a,N/a,677,37,37,14,22,74,78,90,46.4
Reece James,ENG,Chelsea,"DF,MF",25,838,16,10,1,0,1,0,0.3,0.5,6,51,10,0.11,0.00,0.03,N/a,N/a,N/a,N/a,N/a,37.5,0.32,0.13,23.2,577,84.6,3536,94.3,89.0,52.0,10,72,5,1,15,1.61,1,0.11,9,9,N/a,6,12,4,8,12,764,32,214,424,131,4,N/a,N/a,37.5,398,728,4,0,N/a,N/a,482,6,10,0,38,55,21,6,77.8
Reiss Nelson,ENG,Fulham,FW,25,487,11,5,1,1,1,0,1.1,1.0,45,35,63,0.18,0.18,0.20,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,0,N/a,0,N/a,N/a,N/a,0,0,0,0,0,0.00,0,0.00,1,0,N/a,1,0,0,0,0,2,0,1,1,0,0,N/a,N/a,N/a,1,4,0,0,N/a,N/a,1,1,1,0,0,0,0,0,N/a
Renato Veiga,POR,Chelsea,"DF,MF",21,181,7,1,0,0,2,0,0.1,0.0,4,7,3,0.00,0.00,0.07,N/a,N/a,N/a,N/a,N/a,33.3,0.50,0.00,17.1,118,84.9,435,88.2,90.2,61.9,0,6,1,0,1,0.49,0,0.00,9,6,N/a,8,3,1,2,1,167,2,61,82,27,3,N/a,N/a,40.0,85,144,5,1,N/a,N/a,110,6,1,1,0,9,3,3,50.0
Ricardo Pereira,POR,Leicester City,DF,31,342,8,4,0,0,1,0,0.1,0.0,3,14,5,0.00,0.00,0.02,N/a,N/a,N/a,N/a,N/a,50.0,0.26,0.00,17.0,178,82.4,821,86.7,83.7,85.7,0,18,0,0,3,0.79,0,0.00,11,6,N/a,6,6,2,4,2,255,14,78,141,37,5,N/a,N/a,25.0,132,147,3,2,N/a,N/a,143,4,6,0,3,16,4,2,66.7
Riccardo Calafiori,ITA,Arsenal,DF,22,925,17,11,2,1,4,0,0.9,0.3,21,54,29,0.19,0.10,0.08,N/a,N/a,N/a,N/a,N/a,60.0,0.58,0.20,14.1,449,85.4,1644,91.6,85.7,67.9,6,40,9,1,13,1.26,2,0.19,26,18,N/a,11,12,6,6,9,628,30,161,249,222,29,N/a,N/a,23.1,291,839,12,3,N/a,N/a,377,16,6,3,11,30,22,13,62.9
Richarlison,BRA,Tottenham,FW,27,475,13,4,4,1,2,0,3.7,0.9,8,11,22,0.76,0.19,0.70,N/a,N/a,N/a,N/a,N/a,41.2,1.33,0.24,9.1,60,63.2,280,73.2,58.1,66.7,4,8,4,2,8,1.51,1,0.19,4,3,N/a,2,1,1,0,0,161,8,19,81,62,29,N/a,N/a,86.7,87,164,8,3,N/a,N/a,118,6,13,3,7,10,9,22,29.0
Rico Lewis,ENG,Manchester City,"DF,MF",20,"1,818",27,20,1,2,5,1,1.4,0.3,36,104,68,0.05,0.10,0.07,N/a,N/a,N/a,N/a,N/a,20.0,0.10,0.10,15.8,1143,92.0,3126,94.8,94.2,68.3,7,92,14,0,31,1.54,3,0.15,29,19,N/a,8,28,7,21,13,1404,51,286,707,427,42,N/a,N/a,52.4,816,2034,38,8,N/a,N/a,1005,11,33,0,3,94,5,13,27.8
Robert Sánchez,ESP,Chelsea,GK,27,"2,610",29,29,0,0,5,0,0.0,0.1,0,1,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,810,71.7,12888,99.5,96.4,38.5,2,25,1,0,7,0.24,2,0.07,0,0,N/a,1,0,0,0,2,1197,883,1186,11,0,0,N/a,N/a,N/a,805,2517,0,0,N/a,N/a,751,2,4,0,0,41,9,0,100.0
